trade_date,instrument_id,status,is_buy,created_size,executed_size,executed_price,executed_value,executed_commission
2024-04-01,1617,Submitted,True,50658.0,0.0,0.0,0.0,0.0
2024-04-01,1627,Submitted,True,76804.0,0.0,0.0,0.0,0.0
2024-04-01,1903,Submitted,True,23359.0,0.0,0.0,0.0,0.0
2024-04-01,2004,Submitted,True,31806.0,0.0,0.0,0.0,0.0
2024-04-01,2009,Submitted,True,24875.0,0.0,0.0,0.0,0.0
2024-04-01,2012,Submitted,True,56116.0,0.0,0.0,0.0,0.0
2024-04-01,2181,Submitted,True,38358.0,0.0,0.0,0.0,0.0
2024-04-01,2214,Submitted,True,20977.0,0.0,0.0,0.0,0.0
2024-04-01,2602,Submitted,True,46168.0,0.0,0.0,0.0,0.0
2024-04-01,2669,Submitted,True,19758.0,0.0,0.0,0.0,0.0
2024-04-01,3024,Submitted,True,10642.0,0.0,0.0,0.0,0.0
2024-04-01,3032,Submitted,True,23707.0,0.0,0.0,0.0,0.0
2024-04-01,3074,Submitted,True,30693.0,0.0,0.0,0.0,0.0
2024-04-01,3076,Submitted,True,36954.0,0.0,0.0,0.0,0.0
2024-04-01,3174,Submitted,True,32331.0,0.0,0.0,0.0,0.0
2024-04-01,3213,Submitted,True,43917.0,0.0,0.0,0.0,0.0
2024-04-01,3365,Submitted,True,41614.0,0.0,0.0,0.0,0.0
2024-04-01,4256,Submitted,True,54200.0,0.0,0.0,0.0,0.0
2024-04-01,4456,Submitted,True,62305.0,0.0,0.0,0.0,0.0
2024-04-01,4542,Submitted,True,32237.0,0.0,0.0,0.0,0.0
2024-04-01,4603,Submitted,True,14312.0,0.0,0.0,0.0,0.0
2024-04-01,4714,Submitted,True,30864.0,0.0,0.0,0.0,0.0
2024-04-01,4744,Submitted,True,73909.0,0.0,0.0,0.0,0.0
2024-04-01,5191,Submitted,True,48449.0,0.0,0.0,0.0,0.0
2024-04-01,5241,Submitted,True,47080.0,0.0,0.0,0.0,0.0
2024-04-01,5346,Submitted,True,56306.0,0.0,0.0,0.0,0.0
2024-04-01,7850,Submitted,True,17825.0,0.0,0.0,0.0,0.0
2024-04-01,7851,Submitted,True,28224.0,0.0,0.0,0.0,0.0
2024-04-01,7856,Submitted,True,14473.0,0.0,0.0,0.0,0.0
2024-04-01,7987,Submitted,True,14834.0,0.0,0.0,0.0,0.0
2024-04-01,1617,Accepted,True,50658.0,0.0,0.0,0.0,0.0
2024-04-01,1627,Accepted,True,76804.0,0.0,0.0,0.0,0.0
2024-04-01,1903,Accepted,True,23359.0,0.0,0.0,0.0,0.0
2024-04-01,2004,Accepted,True,31806.0,0.0,0.0,0.0,0.0
2024-04-01,2009,Accepted,True,24875.0,0.0,0.0,0.0,0.0
2024-04-01,2012,Accepted,True,56116.0,0.0,0.0,0.0,0.0
2024-04-01,2181,Accepted,True,38358.0,0.0,0.0,0.0,0.0
2024-04-01,2214,Accepted,True,20977.0,0.0,0.0,0.0,0.0
2024-04-01,2602,Accepted,True,46168.0,0.0,0.0,0.0,0.0
2024-04-01,2669,Accepted,True,19758.0,0.0,0.0,0.0,0.0
2024-04-01,3024,Accepted,True,10642.0,0.0,0.0,0.0,0.0
2024-04-01,3032,Accepted,True,23707.0,0.0,0.0,0.0,0.0
2024-04-01,3074,Accepted,True,30693.0,0.0,0.0,0.0,0.0
2024-04-01,3076,Accepted,True,36954.0,0.0,0.0,0.0,0.0
2024-04-01,3174,Accepted,True,32331.0,0.0,0.0,0.0,0.0
2024-04-01,3213,Accepted,True,43917.0,0.0,0.0,0.0,0.0
