id,run_id,portfolio_id,source_target_run_id,adjusted_target_run_id,profile_code,rule_code,instrument_id,decision_date,decision_type,reason_code,action_taken,before_target_weight,after_target_weight,before_target_quantity,after_target_quantity,before_target_amount,after_target_amount,message
2701,214,1,155,215,paper_cn_a_default_risk_v1,R001_MAX_POSITION_COUNT,5237,2026-04-22,PASS,R001_MAX_POSITION_COUNT,NO_CHANGE,0.0333333333,0.0333333333,8600.00000000,8600.00000000,326456.00000000,326456.00000000,rank ordinal 1 <= max_position_count 30
2702,214,1,155,215,paper_cn_a_default_risk_v1,R002_MAX_SINGLE_POSITION_WEIGHT,5237,2026-04-22,PASS,R002_MAX_SINGLE_POSITION_WEIGHT,NO_CHANGE,0.0333333333,0.0333333333,8600.00000000,8600.00000000,326456.00000000,326456.00000000,within max single position weight
2703,214,1,155,215,paper_cn_a_default_risk_v1,R003_SUSPENDED_FILTER,5237,2026-04-22,WARN,R003_MISSING_STATUS,NO_CHANGE,0.0333333333,0.0333333333,8600.00000000,8600.00000000,326456.00000000,326456.00000000,missing instrument status
2704,214,1,155,215,paper_cn_a_default_risk_v1,R004_PRICE_LIMIT_FILTER,5237,2026-04-22,WARN,R004_MISSING_PRICE_LIMIT,NO_CHANGE,0.0333333333,0.0333333333,8600.00000000,8600.00000000,326456.00000000,326456.00000000,missing price limit
2705,214,1,155,215,paper_cn_a_default_risk_v1,R005_MISSING_PRICE_FILTER,5237,2026-04-22,PASS,R005_MISSING_PRICE_FILTER,NO_CHANGE,0.0333333333,0.0333333333,8600.00000000,8600.00000000,326456.00000000,326456.00000000,effective date price exists
2706,214,1,155,215,paper_cn_a_default_risk_v1,R006_LOT_SIZE_CHECK,5237,2026-04-22,PASS,R006_LOT_SIZE_CHECK,NO_CHANGE,0.0333333333,0.0333333333,8600.00000000,8600.00000000,326456.00000000,326456.00000000,lot size ok
2707,214,1,155,215,paper_cn_a_default_risk_v1,R001_MAX_POSITION_COUNT,4115,2026-04-22,PASS,R001_MAX_POSITION_COUNT,NO_CHANGE,0.0333333333,0.0333333333,8500.00000000,8500.00000000,325125.00000000,325125.00000000,rank ordinal 2 <= max_position_count 30
2708,214,1,155,215,paper_cn_a_default_risk_v1,R002_MAX_SINGLE_POSITION_WEIGHT,4115,2026-04-22,PASS,R002_MAX_SINGLE_POSITION_WEIGHT,NO_CHANGE,0.0333333333,0.0333333333,8500.00000000,8500.00000000,325125.00000000,325125.00000000,within max single position weight
2709,214,1,155,215,paper_cn_a_default_risk_v1,R003_SUSPENDED_FILTER,4115,2026-04-22,WARN,R003_MISSING_STATUS,NO_CHANGE,0.0333333333,0.0333333333,8500.00000000,8500.00000000,325125.00000000,325125.00000000,missing instrument status
2710,214,1,155,215,paper_cn_a_default_risk_v1,R004_PRICE_LIMIT_FILTER,4115,2026-04-22,WARN,R004_MISSING_PRICE_LIMIT,NO_CHANGE,0.0333333333,0.0333333333,8500.00000000,8500.00000000,325125.00000000,325125.00000000,missing price limit
2711,214,1,155,215,paper_cn_a_default_risk_v1,R005_MISSING_PRICE_FILTER,4115,2026-04-22,PASS,R005_MISSING_PRICE_FILTER,NO_CHANGE,0.0333333333,0.0333333333,8500.00000000,8500.00000000,325125.00000000,325125.00000000,effective date price exists
2712,214,1,155,215,paper_cn_a_default_risk_v1,R006_LOT_SIZE_CHECK,4115,2026-04-22,PASS,R006_LOT_SIZE_CHECK,NO_CHANGE,0.0333333333,0.0333333333,8500.00000000,8500.00000000,325125.00000000,325125.00000000,lot size ok
2713,214,1,155,215,paper_cn_a_default_risk_v1,R001_MAX_POSITION_COUNT,5716,2026-04-22,PASS,R001_MAX_POSITION_COUNT,NO_CHANGE,0.0333333333,0.0333333333,5000.00000000,5000.00000000,325600.00000000,325600.00000000,rank ordinal 3 <= max_position_count 30
