id,run_id,portfolio_id,source_target_run_id,adjusted_target_run_id,profile_code,rule_code,instrument_id,decision_date,decision_type,reason_code,action_taken,before_target_weight,after_target_weight,before_target_quantity,after_target_quantity,before_target_amount,after_target_amount,message
653,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2391,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
654,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2391,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
655,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,2173,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,26700.00000000,0E-8,327075.00000000,0E-8,missing industry classification
656,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2173,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
657,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2173,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
658,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,819,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,33300.00000000,0E-8,327339.00000000,0E-8,missing industry classification
659,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,819,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
660,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,819,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
661,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,2784,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,32600.00000000,0E-8,327304.00000000,0E-8,missing industry classification
662,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2784,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
663,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2784,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
664,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,4929,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,5900.00000000,0E-8,323733.00000000,0E-8,missing industry classification
665,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,4929,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
