id,run_id,portfolio_id,instrument_id,position_date,quantity,available_quantity,frozen_quantity,avg_cost,cost_amount,market_price,market_value,unrealized_pnl,realized_pnl,total_pnl,position_status
925,153,1,717,2026-04-23,84200.00000000,84200.00000000,0E-8,3.89116700,327636.26140000,3.89000000,327538.00000000,-98.26140000,0E-8,-98.26140000,OPEN
926,153,1,819,2026-04-23,33300.00000000,33300.00000000,0E-8,9.83294900,327437.20170000,9.83000000,327339.00000000,-98.20170000,0E-8,-98.20170000,OPEN
897,153,1,1415,2026-04-23,14000.00000000,14000.00000000,0E-8,23.34700200,326858.02800000,23.34000000,326760.00000000,-98.02800000,0E-8,-98.02800000,OPEN
898,153,1,1508,2026-04-23,9900.00000000,9900.00000000,0E-8,33.20170924,328696.92148300,33.02000000,326898.00000000,-1798.92148300,-268.60173750,-2067.52322050,OPEN
899,153,1,1637,2026-04-23,17400.00000000,17400.00000000,0E-8,18.84074243,327828.91829600,18.81000000,327294.00000000,-534.91829600,-267.20031800,-802.11861400,OPEN
900,153,1,1988,2026-04-23,4900.00000000,4900.00000000,0E-8,66.43873183,325549.78597500,66.82000000,327418.00000000,1868.21402500,-265.78282500,1602.43120000,OPEN
901,153,1,2173,2026-04-23,26700.00000000,26700.00000000,0E-8,12.57807030,335834.47693000,12.25000000,327075.00000000,-8759.47693000,0E-8,-8759.47693000,OPEN
902,153,1,2182,2026-04-23,96600.00000000,96600.00000000,0E-8,3.40280447,328710.91180200,3.39000000,331881.00000000,-1248.66819330,-27.67225800,-1248.66819330,OPEN
903,153,1,2327,2026-04-23,31600.00000000,31600.00000000,0E-8,10.40857132,328910.85371200,10.34000000,330880.00000000,-2189.61958400,-44.45566000,-2189.61958400,OPEN
904,153,1,2391,2026-04-23,33600.00000000,33600.00000000,0E-8,9.44764786,317440.96809600,9.74000000,342848.00000000,10290.79521536,447.17942400,10290.79521536,OPEN
905,153,1,2464,2026-04-23,14400.00000000,14400.00000000,0E-8,23.01863357,331468.32333600,22.69000000,326736.00000000,-4732.32333600,0E-8,-4732.32333600,OPEN
906,153,1,2703,2026-04-23,6300.00000000,6300.00000000,0E-8,49.94042673,314624.68839900,51.96000000,342936.00000000,13329.18355230,585.28398100,13329.18355230,OPEN
907,153,1,2784,2026-04-23,32600.00000000,32600.00000000,0E-8,10.15822307,331158.07208200,10.04000000,329312.00000000,-3877.71680260,-30.65261400,-3877.71680260,OPEN
908,153,1,3048,2026-04-23,30400.00000000,30400.00000000,0E-8,10.82876588,329194.48275200,10.76000000,330332.00000000,-2111.11242697,-28.85776400,-2111.11242697,OPEN
909,153,1,3062,2026-04-23,22400.00000000,22400.00000000,0E-8,14.59181206,326856.59014400,14.60000000,332880.00000000,186.68503428,-7.56482400,186.68503428,OPEN
910,153,1,3192,2026-04-23,21800.00000000,21800.00000000,0E-8,15.60790692,340252.37087600,14.97000000,326346.00000000,-13906.37087600,0E-8,-13906.37087600,OPEN
911,153,1,3300,2026-04-23,10000.00000000,10000.00000000,0E-8,31.88581154,318858.11540000,32.60000000,339040.00000000,7427.56000168,267.63538400,7427.56000168,OPEN
912,153,1,3981,2026-04-23,7100.00000000,7100.00000000,0E-8,48.42425199,343812.18913600,45.80000000,325180.00000000,-18632.18913600,0E-8,-18632.18913600,OPEN
913,153,1,4115,2026-04-23,8500.00000000,8500.00000000,0E-8,35.32859847,300293.08699500,38.25000000,359550.00000000,27461.17436790,2584.50887700,27461.17436790,OPEN
914,153,1,4175,2026-04-23,14600.00000000,14600.00000000,0E-8,22.34809076,326282.12509600,22.31000000,332419.00000000,-567.55234113,-23.12022800,-567.55234113,OPEN
915,153,1,4289,2026-04-23,20000.00000000,20000.00000000,0E-8,15.38245208,307649.04160000,16.38000000,353808.00000000,21547.03502124,1562.00627200,21547.03502124,OPEN
916,153,1,4379,2026-04-23,9100.00000000,9100.00000000,0E-8,35.53876860,323402.79426000,35.86000000,333498.00000000,2987.45198233,52.07428000,2987.45198233,OPEN
917,153,1,4435,2026-04-23,11500.00000000,11500.00000000,0E-8,27.87256282,320534.47243000,28.36000000,337484.00000000,5800.50248067,178.63087200,5800.50248067,OPEN
918,153,1,4461,2026-04-23,5700.00000000,5700.00000000,0E-8,57.98694038,330525.56016999,56.64000000,322848.00000000,-7677.56016999,0E-8,-7677.56016999,OPEN
919,153,1,4929,2026-04-23,5900.00000000,5900.00000000,0E-8,57.28561914,337985.15294400,54.87000000,323733.00000000,-14252.15294400,0E-8,-14252.15294400,OPEN
920,153,1,5237,2026-04-23,8600.00000000,8600.00000000,0E-8,38.03078589,327064.75865400,37.96000000,330252.00000000,-615.83724300,-15.87458900,-615.83724300,OPEN
921,153,1,5649,2026-04-23,6000.00000000,6000.00000000,0E-8,53.59338380,321560.30280000,54.48000000,337776.00000000,5497.02043845,161.42724000,5497.02043845,OPEN
922,153,1,5678,2026-04-23,7500.00000000,7500.00000000,0E-8,43.56526605,326739.49537500,43.53000000,330828.00000000,-268.02195834,-12.87960500,-268.02195834,OPEN
923,153,1,5716,2026-04-23,5000.00000000,5000.00000000,0E-8,64.05184992,320259.24960000,65.12000000,338624.00000000,5554.38041600,195.60601600,5554.38041600,OPEN
924,153,1,5801,2026-04-23,5800.00000000,5800.00000000,0E-8,55.90525526,324250.48050800,56.37000000,332583.00000000,2741.99397603,35.83747400,2741.99397603,OPEN
