id,run_id,portfolio_id,as_of_date,effective_date,instrument_id,target_side,target_weight,target_amount,target_quantity,rank_no,score,reason_code,target_source,construction_mode,status,status_reason
253,160,1,2026-04-21,2026-04-22,3981,LONG,0.0333333333,325180.00000000,7100.00000000,13,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=45.8000;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
254,160,1,2026-04-21,2026-04-22,2182,LONG,0.0333333333,327474.00000000,96600.00000000,14,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=3.3900;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
255,160,1,2026-04-21,2026-04-22,5678,LONG,0.0333333333,326475.00000000,7500.00000000,15,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=43.5300;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
256,160,1,2026-04-21,2026-04-22,4175,LONG,0.0333333333,325726.00000000,14600.00000000,16,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=22.3100;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
257,160,1,2026-04-21,2026-04-22,4461,LONG,0.0333333333,322848.00000000,5700.00000000,17,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=56.6400;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
258,160,1,2026-04-21,2026-04-22,1637,LONG,0.0333333333,327294.00000000,17400.00000000,18,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=18.8100;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
259,160,1,2026-04-21,2026-04-22,3062,LONG,0.0333333333,327040.00000000,22400.00000000,19,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=14.6000;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
260,160,1,2026-04-21,2026-04-22,4435,LONG,0.0333333333,326140.00000000,11500.00000000,20,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=28.3600;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
261,160,1,2026-04-21,2026-04-22,5649,LONG,0.0333333333,326880.00000000,6000.00000000,21,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=54.4800;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
262,160,1,2026-04-21,2026-04-22,4379,LONG,0.0333333333,326326.00000000,9100.00000000,22,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=35.8600;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
263,160,1,2026-04-21,2026-04-22,1508,LONG,0.0333333333,326898.00000000,9900.00000000,23,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=33.0200;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
264,160,1,2026-04-21,2026-04-22,2464,LONG,0.0333333333,326736.00000000,14400.00000000,24,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=22.6900;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
265,160,1,2026-04-21,2026-04-22,2703,LONG,0.0333333333,327348.00000000,6300.00000000,25,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=51.9600;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
266,160,1,2026-04-21,2026-04-22,2327,LONG,0.0333333333,326744.00000000,31600.00000000,26,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=10.3400;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
267,160,1,2026-04-21,2026-04-22,1988,LONG,0.0333333333,327418.00000000,4900.00000000,27,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=66.8200;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
268,160,1,2026-04-21,2026-04-22,3300,LONG,0.0333333333,326000.00000000,10000.00000000,28,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=32.6000;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
269,160,1,2026-04-21,2026-04-22,5801,LONG,0.0333333333,326946.00000000,5800.00000000,29,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=56.3700;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
270,160,1,2026-04-21,2026-04-22,717,LONG,0.0333333333,327538.00000000,84200.00000000,30,,TOP_N_SELECTED;RISK_APPLIED,RISK_ADJUSTED_TARGET,EQUAL_WEIGHT_SELECTED,RISK_PASSED,M7_7_SIZED_BY_EQUAL_WEIGHT_BY_EQUITY;price_source=core_daily_bar.close;price_date=2026-04-20;price=3.8900;lot_size=100;raw_target_amount=327753.77173270;cash_buffer_rate=0.02
